QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",125263-110617:Isaiah Neyor,125263-110617,WR,Isaiah,Isaiah Neyor,Neyor,,0,4000,GB@CHI,GB,CHI,,,,,,WR/FLEX
"","","","","","","","","","",125263-152603:Anthony Tyus III,125263-152603,RB,Anthony,Anthony Tyus III,Tyus III,,0,4000,LAR@CAR,CAR,LAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-71459:Brittain Brown,125263-71459,RB,Brittain,Brittain Brown,Brown,4.849999904632568,2,4000,GB@CHI,CHI,GB,,,,,,RB/FLEX
"","","","","","","","","","",125263-160303:Tucker Kraft,125263-160303,TE,Tucker,Tucker Kraft,Kraft,13.399999618530273,8,4000,GB@CHI,GB,CHI,IR,Knee - acl,,,,TE/FLEX
"","","","","","","","","","",125263-160306:Pierre Strong Jr.,125263-160306,RB,Pierre,Pierre Strong Jr.,Strong Jr.,2.3500000635782876,12,4000,GB@CHI,GB,CHI,,,,,,RB/FLEX
"","","","","","","","","","",125263-226875:Ja'seem Reed,125263-226875,WR,Ja'seem,Ja'seem Reed,Reed,,0,4000,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-137017:Drake Dabney,125263-137017,TE,Drake,Drake Dabney,Dabney,0.800000011920929,1,4000,GB@CHI,GB,CHI,,,,,,TE/FLEX
"","","","","","","","","","",125263-42046:Durham Smythe,125263-42046,TE,Durham,Durham Smythe,Smythe,0.9,5,4000,GB@CHI,CHI,GB,,,,,,TE/FLEX
"","","","","","","","","","",125263-120642:Savion Williams,125263-120642,WR,Savion,Savion Williams,Williams,1.7083333333333333,12,4000,GB@CHI,GB,CHI,IR,Foot,,,,WR/FLEX
"","","","","","","","","","",125263-156997:Tru Edwards,125263-156997,WR,Tru,Tru Edwards,Edwards,,0,4000,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-165962:Nikola Kalinic,125263-165962,TE,Nikola,Nikola Kalinic,Kalinic,0,2,4000,GB@CHI,CHI,GB,,,,,,TE/FLEX
"","","","","","","","","","",125263-104008:Stephen Carlson,125263-104008,TE,Stephen,Stephen Carlson,Carlson,,0,4000,GB@CHI,CHI,GB,,,,,,TE/FLEX
"","","","","","","","","","",125263-104019:Matt Orzech,125263-104019,TE,Matt,Matt Orzech,Orzech,0,1,4000,GB@CHI,GB,CHI,,,,,,TE/FLEX
"","","","","","","","","","",125263-155733:Montrell Johnson Jr.,125263-155733,RB,Montrell,Montrell Johnson Jr.,Johnson Jr.,,0,4000,LAR@CAR,CAR,LAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-65627:Maurice Alexander,125263-65627,WR,Maurice,Maurice Alexander,Alexander,0,1,4000,GB@CHI,CHI,GB,,,,,,WR/FLEX
"","","","","","","","","","",125263-114532:Deion Hankins,125263-114532,RB,Deion,Deion Hankins,Hankins,,0,4000,GB@CHI,CHI,GB,IR,Quadriceps,,,,RB/FLEX
"","","","","","","","","","",125263-129641:Will Sheppard,125263-129641,WR,Will,Will Sheppard,Sheppard,,0,4000,GB@CHI,GB,CHI,O,Undisclosed,,,,WR/FLEX
"","","","","","","","","","",125263-169067:Bryce Pierre,125263-169067,TE,Bryce,Bryce Pierre,Pierre,,0,4000,LAR@CAR,CAR,LAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-110977:Thomas Gordon,125263-110977,TE,Thomas,Thomas Gordon,Gordon,,0,4000,GB@CHI,CHI,GB,,,,,,TE/FLEX
"","","","","","","","","","",125263-57986:Hunter Renfrow,125263-57986,WR,Hunter,Hunter Renfrow,Renfrow,4.733333269755046,6,4000,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-119697:MarShawn Lloyd,125263-119697,RB,MarShawn,MarShawn Lloyd,Lloyd,2.299999952316284,1,4000,GB@CHI,GB,CHI,IR,Hamstring,,,,RB/FLEX
"","","","","","","","","","",125263-64405:Dan Chisena,125263-64405,WR,Dan,Dan Chisena,Chisena,1.2999999523162842,4,4000,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-28570:Nick Vannett,125263-28570,TE,Nick,Nick Vannett,Vannett,3.3333333333333335,12,4000,LAR@CAR,LAR,CAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-137889:Brennan Presley,125263-137889,WR,Brennan,Brennan Presley,Presley,,0,4000,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-87731:Dominique Robinson,125263-87731,WR,Dominique,Dominique Robinson,Robinson,0,10,4000,GB@CHI,CHI,GB,,,,,,WR/FLEX
"","","","","","","","","","",125263-156596:Jarquez Hunter,125263-156596,RB,Jarquez,Jarquez Hunter,Hunter,,0,4000,LAR@CAR,LAR,CAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-114109:Ainias Smith,125263-114109,WR,Ainias,Ainias Smith,Smith,2.839999961853027,5,4000,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-152014:JP Richardson,125263-152014,WR,JP,JP Richardson,Richardson,,0,4000,GB@CHI,CHI,GB,,,,,,WR/FLEX
"","","","","","","","","","",125263-166106:Damien Martinez,125263-166106,RB,Damien,Damien Martinez,Martinez,,0,4000,GB@CHI,GB,CHI,,,,,,RB/FLEX
"","","","","","","","","","",125263-129240:Tyler Scott,125263-129240,WR,Tyler,Tyler Scott,Scott,0.2,5,4000,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-120035:Mark Redman,125263-120035,TE,Mark,Mark Redman,Redman,,0,4000,LAR@CAR,LAR,CAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-85986:James Mitchell,125263-85986,TE,James,James Mitchell,Mitchell,2.1500000953674316,2,4000,LAR@CAR,CAR,LAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-91618:John FitzPatrick,125263-91618,TE,John,John FitzPatrick,FitzPatrick,1.9200000762939453,10,4000,GB@CHI,GB,CHI,IR,Achilles,,,,TE/FLEX
"","","","","","","","","","",125263-193004:Jahdae Walker,125263-193004,WR,Jahdae,Jahdae Walker,Walker,7.900000254313151,3,4000,GB@CHI,CHI,GB,,,,,,WR/FLEX
"","","","","","","","","","",125263-12533:Green Bay Packers,125263-12533,D,Green Bay,Green Bay Packers,Packers,4.647058823529412,17,3900,GB@CHI,GB,CHI,,,,,,DEF
"","","","","","","","","","",125263-12553:Carolina Panthers,125263-12553,D,Carolina,Carolina Panthers,Panthers,6.0588235294117645,17,3400,LAR@CAR,CAR,LAR,,,,,,DEF
